student_id,vle_engagement_score,entrepreneurial_grit_index,innovation_credits_completed,competitions_participated,competitions_won,portfolio_achievement_scale,skills_possessed,skills_seeking,competition_history,has_startup,startup_industry,semantic_pitch_statement,tech_readiness_level_trl,mentorship_hours,founder_idea_fit_score,market_readiness_score,team_size,patents_filed,technology_transfers_completed,revenue_generated_usd,seed_funding_received,startup_achievement,startup_achievement_scale,investor_details,success_prediction_label
STU00011,463,3.4,11,8,7,10,Machine Learning | Computer Vision | AR/VR Development | Node.js,Django | Data Engineering | Data Analysis,National Hackathon | Data Science Olympiad | Campus Ideathon | Smart India Hackathon (SIH) | IEEE Paper Presentation | Product Design Sprint | Climate Action Hackathon | Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00012,470,6.7,9,7,3,6.4,Data Engineering | Python | Android Development | AR/VR Development,Embedded Systems,Product Design Sprint | IEEE Paper Presentation | National Hackathon | Inter-College Innovation Challenge | State-Level Startup Pitch | Climate Action Hackathon | Data Science Olympiad,1,EdTech,We solve high student dropout rates in rural areas for rural farmers by building a conversational AI patient triage assistant in the EdTech sector.,5,37,0.85,0.92,7,0,0,0,0,Filed Provisional Patent,5.6,Bootstrapped,0
STU00013,38,2.9,8,11,0,3.3,AR/VR Development,Data Engineering | Android Development | Natural Language Processing,Campus Ideathon | Product Design Sprint | Smart India Hackathon (SIH) | Social Entrepreneurship Challenge | Climate Action Hackathon | IEEE Paper Presentation | State-Level Startup Pitch | Data Science Olympiad | Inter-College Innovation Challenge | National Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00014,140,3,4,2,2,4,Cybersecurity | Natural Language Processing,UI/UX Design | Node.js,Inter-College Innovation Challenge | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00015,448,1.6,8,11,1,4.5,AR/VR Development | Blockchain | Business Analytics | UI/UX Design,DevOps | iOS Development | Django,Climate Action Hackathon | Smart India Hackathon (SIH) | Data Science Olympiad | Campus Ideathon | Product Design Sprint | Inter-College Innovation Challenge | State-Level Startup Pitch | IEEE Paper Presentation | Social Entrepreneurship Challenge | National Hackathon,1,SpaceTech,We solve fragmented agricultural market data for first-generation college students by building a conversational AI patient triage assistant in the SpaceTech sector.,1,98,0.57,0.63,3,0,0,0,0,Won Best DeepTech Prototype at National Hackathon,4.1,Bootstrapped,0
STU00016,215,4,3,12,1,4.2,Django,Machine Learning | Computer Vision | iOS Development,National Hackathon | Climate Action Hackathon | Product Design Sprint | Data Science Olympiad | IEEE Paper Presentation | Campus Ideathon | Smart India Hackathon (SIH) | State-Level Startup Pitch | Inter-College Innovation Challenge | Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00017,37,1,8,6,2,4.9,Data Analysis | UI/UX Design | AR/VR Development,iOS Development | Machine Learning | Android Development,State-Level Startup Pitch | Smart India Hackathon (SIH) | Climate Action Hackathon | Data Science Olympiad | National Hackathon | Product Design Sprint,1,CleanEnergy,We solve lack of affordable mental health access for government health workers by building a blockchain-backed traceability ledger in the CleanEnergy sector.,4,71,0.5,0.78,4,0,0,0,0,Featured in YourStory Startup Edition,5.8,Bootstrapped,0
STU00018,490,6,2,12,1,4.2,AR/VR Development | Cloud Computing | Computer Vision,Django,National Hackathon | Climate Action Hackathon | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Campus Ideathon | IEEE Paper Presentation | Social Entrepreneurship Challenge | State-Level Startup Pitch | Data Science Olympiad | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00019,259,1.3,10,4,3,6,UI/UX Design | Blockchain,iOS Development,Campus Ideathon | Product Design Sprint | Data Science Olympiad | Social Entrepreneurship Challenge,1,CivicTech,We solve fragmented agricultural market data for government health workers by building a computer-vision quality inspection tool in the CivicTech sector.,8,55,0.58,0.81,2,2,0,0,1,Featured in YourStory Startup Edition,9.4,Corporate Innovation Arm,0
STU00020,273,4.5,10,2,0,2.1,Node.js | UI/UX Design | Data Engineering | Natural Language Processing,Machine Learning | Python | iOS Development,Product Design Sprint | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00021,106,4.6,12,8,7,10,Business Analytics | DevOps,Android Development | IoT | Data Engineering,Climate Action Hackathon | Data Science Olympiad | IEEE Paper Presentation | Inter-College Innovation Challenge | State-Level Startup Pitch | Smart India Hackathon (SIH) | Social Entrepreneurship Challenge | Campus Ideathon,1,SpaceTech,We solve manual compliance reporting in hospitals for government health workers by building a blockchain-backed traceability ledger in the SpaceTech sector.,7,90,0.87,0.49,5,3,1,0,1,Onboarded 500+ Beta Users,9.6,Tier-1 VC Partner (₹1Cr seed),1
STU00022,145,3.7,11,7,5,8.9,Machine Learning | AR/VR Development | Node.js,Cloud Computing,Inter-College Innovation Challenge | Data Science Olympiad | State-Level Startup Pitch | Campus Ideathon | Smart India Hackathon (SIH) | National Hackathon | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00023,121,5.1,1,2,0,1.4,React.js | Natural Language Processing | Python | DevOps,Cloud Computing | Data Engineering,Campus Ideathon | IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00024,414,3.3,7,10,6,10,Android Development,AR/VR Development | Computer Vision | Data Engineering,Product Design Sprint | Data Science Olympiad | Inter-College Innovation Challenge | Campus Ideathon | Smart India Hackathon (SIH) | Climate Action Hackathon | Social Entrepreneurship Challenge | State-Level Startup Pitch | National Hackathon | IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00025,427,3.3,3,2,1,2.7,Natural Language Processing | Cybersecurity | Node.js,UI/UX Design,Climate Action Hackathon | IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00026,314,6.7,7,8,5,8.8,Computer Vision | Embedded Systems | Data Analysis | Cybersecurity,Cloud Computing,Product Design Sprint | IEEE Paper Presentation | Campus Ideathon | National Hackathon | Data Science Olympiad | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Social Entrepreneurship Challenge,1,SpaceTech,We solve manual compliance reporting in hospitals for small business owners by building a conversational AI patient triage assistant in the SpaceTech sector.,4,18,1,0.87,8,0,0,0,0,Featured in YourStory Startup Edition,5.9,Bootstrapped,1
STU00027,304,3.8,12,10,5,9.5,Data Engineering | Android Development,Node.js | Python,IEEE Paper Presentation | Smart India Hackathon (SIH) | Campus Ideathon | National Hackathon | Inter-College Innovation Challenge | Social Entrepreneurship Challenge | Climate Action Hackathon | State-Level Startup Pitch | Product Design Sprint | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00028,35,6.2,11,10,6,10,React.js | Python,Natural Language Processing | Node.js,Product Design Sprint | Inter-College Innovation Challenge | Data Science Olympiad | National Hackathon | Smart India Hackathon (SIH) | IEEE Paper Presentation | State-Level Startup Pitch | Campus Ideathon | Social Entrepreneurship Challenge | Climate Action Hackathon,1,HRTech,We solve high student dropout rates in rural areas for school teachers in tier-3 districts by building a computer-vision quality inspection tool in the HRTech sector.,4,36,1,0.61,8,0,0,0,0,Accepted into IIT Incubation Centre,5.6,Bootstrapped,0
STU00029,334,2.1,8,4,4,7,Data Engineering | Machine Learning | Cybersecurity | Computer Vision,Cloud Computing | Python,Data Science Olympiad | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Product Design Sprint,1,RetailTech,We solve untapped renewable energy in tier-2 cities for environmental compliance officers by building a conversational AI patient triage assistant in the RetailTech sector.,5,65,0.73,0.47,8,0,0,0,1,Secured Letter of Intent from Industry Partner,7.5,SIDBI Startup Mitra Fund,0
STU00030,122,2,6,6,5,8.4,Data Analysis,React.js | Android Development,National Hackathon | Social Entrepreneurship Challenge | Climate Action Hackathon | IEEE Paper Presentation | Data Science Olympiad | Campus Ideathon,1,HRTech,We solve high student dropout rates in rural areas for environmental compliance officers by building a no-code automation workflow engine in the HRTech sector.,5,64,0.76,0.81,4,0,0,0,1,Accepted into IIT Incubation Centre,7.8,University Seed Fund,1
STU00031,326,2.9,7,7,1,3.8,Android Development,React.js | Business Analytics | UI/UX Design,State-Level Startup Pitch | Data Science Olympiad | Inter-College Innovation Challenge | Campus Ideathon | National Hackathon | Climate Action Hackathon | Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00032,27,1.2,10,9,5,9.2,Cybersecurity | Django,Computer Vision | iOS Development,IEEE Paper Presentation | Smart India Hackathon (SIH) | State-Level Startup Pitch | Product Design Sprint | National Hackathon | Data Science Olympiad | Social Entrepreneurship Challenge | Inter-College Innovation Challenge | Climate Action Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00033,260,5.8,1,7,1,3.3,Python | Django | Cybersecurity | Computer Vision,Data Analysis | Cloud Computing | DevOps,Data Science Olympiad | Smart India Hackathon (SIH) | Climate Action Hackathon | Inter-College Innovation Challenge | National Hackathon | IEEE Paper Presentation | Social Entrepreneurship Challenge,1,LegalTech,We solve inaccessible legal aid for low-income families for small business owners by building a federated machine learning recommendation system in the LegalTech sector.,7,62,0.8,0.97,6,3,1,0,1,Awarded BIRAC BIG Grant,9.8,Tier-1 VC Partner (₹1Cr seed),1
STU00034,211,5,2,2,2,3.9,React.js | Python | Business Analytics | Data Analysis,Natural Language Processing | Django,National Hackathon | State-Level Startup Pitch,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00035,126,1.6,5,6,4,7.1,Computer Vision,Data Engineering | Business Analytics,State-Level Startup Pitch | Climate Action Hackathon | Smart India Hackathon (SIH) | Campus Ideathon | Product Design Sprint | National Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00036,57,5.1,7,11,4,8,Data Engineering | AR/VR Development | Django,Machine Learning,National Hackathon | Data Science Olympiad | Product Design Sprint | Climate Action Hackathon | IEEE Paper Presentation | Inter-College Innovation Challenge | Campus Ideathon | State-Level Startup Pitch | Social Entrepreneurship Challenge | Smart India Hackathon (SIH),0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00037,473,6.6,0,1,1,2.3,Android Development,DevOps | React.js,Climate Action Hackathon,1,CivicTech,We solve untapped renewable energy in tier-2 cities for early-stage startup founders by building a gamified financial literacy learning app in the CivicTech sector.,2,60,0.84,0.53,4,0,0,0,0,Secured Letter of Intent from Industry Partner,4.5,Bootstrapped,0
STU00038,423,1.7,4,0,0,1.3,Android Development | Cloud Computing,iOS Development,None,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00039,158,6.8,6,0,0,1.5,IoT | Python,iOS Development,None,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00040,371,2.7,5,1,1,2.7,AR/VR Development | UI/UX Design | Machine Learning,Blockchain | DevOps | Cybersecurity,Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00041,361,6.7,4,12,2,5.5,Blockchain | Business Analytics | Cybersecurity,Django | Node.js | Python,Climate Action Hackathon | Product Design Sprint | Smart India Hackathon (SIH) | Campus Ideathon | National Hackathon | Data Science Olympiad | IEEE Paper Presentation | Social Entrepreneurship Challenge | Inter-College Innovation Challenge | State-Level Startup Pitch,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00042,487,1.1,5,6,5,8.3,Data Engineering,UI/UX Design,Product Design Sprint | Climate Action Hackathon | Social Entrepreneurship Challenge | Inter-College Innovation Challenge | IEEE Paper Presentation | National Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00043,336,4.4,3,1,1,2.6,Embedded Systems,Blockchain | Data Analysis,Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00044,448,6.2,10,5,0,2.6,Node.js | IoT | Blockchain,Machine Learning,Social Entrepreneurship Challenge | Climate Action Hackathon | Inter-College Innovation Challenge | Campus Ideathon | Product Design Sprint,1,BioTech,We solve fragmented agricultural market data for low-income urban households by building a peer-to-peer micro-mentorship application in the BioTech sector.,4,31,0.8,0.85,6,0,0,0,0,Completed DST-NIDHI PRAYAS Grant,5.6,Bootstrapped,0
STU00045,259,2.9,9,7,5,8.8,Blockchain | Django | AR/VR Development | UI/UX Design,Embedded Systems | Cybersecurity,Social Entrepreneurship Challenge | Product Design Sprint | Campus Ideathon | State-Level Startup Pitch | Climate Action Hackathon | Smart India Hackathon (SIH) | Inter-College Innovation Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00046,306,4.4,7,3,2,4.4,Machine Learning | Python | Node.js,Embedded Systems,Social Entrepreneurship Challenge | Climate Action Hackathon | Inter-College Innovation Challenge,1,LegalTech,We solve high student dropout rates in rural areas for low-income urban households by building a federated machine learning recommendation system in the LegalTech sector.,1,88,0.69,0.71,3,0,0,0,0,Reached ₹5 Lakh Monthly Recurring Revenue,3.8,Bootstrapped,0
STU00047,255,1.4,6,9,7,10,Django | DevOps | Android Development,Natural Language Processing | Business Analytics | IoT,Climate Action Hackathon | National Hackathon | Product Design Sprint | IEEE Paper Presentation | Social Entrepreneurship Challenge | Data Science Olympiad | State-Level Startup Pitch | Smart India Hackathon (SIH) | Campus Ideathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00048,458,2.4,1,5,3,5.4,Python | Machine Learning | Embedded Systems | Natural Language Processing,Data Analysis | Business Analytics,Campus Ideathon | Climate Action Hackathon | IEEE Paper Presentation | National Hackathon | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00049,473,3.2,11,1,0,2,Natural Language Processing | Data Analysis | Django | Python,Blockchain | DevOps,Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00050,13,1.6,7,0,0,1.6,DevOps | Android Development,Machine Learning | IoT | Business Analytics,None,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00051,302,6.9,8,1,1,3,Cybersecurity | Android Development | Cloud Computing,Data Analysis,Social Entrepreneurship Challenge,1,EdTech,We solve lack of affordable mental health access for senior citizens by building an IoT sensor network with real-time alerts in the EdTech sector.,6,62,0.79,0.34,6,0,0,0,1,Won Best DeepTech Prototype at National Hackathon,8.5,Corporate Innovation Arm,1
STU00052,491,3.3,10,7,7,10,Natural Language Processing | Computer Vision | DevOps | UI/UX Design,Data Analysis,Product Design Sprint | Smart India Hackathon (SIH) | State-Level Startup Pitch | Data Science Olympiad | National Hackathon | Inter-College Innovation Challenge | Campus Ideathon,1,CleanEnergy,We solve fragmented agricultural market data for senior citizens by building an AI-driven predictive analytics dashboard in the CleanEnergy sector.,3,86,0.89,0.33,8,0,0,0,0,Onboarded 500+ Beta Users,5,Bootstrapped,0
STU00053,431,3.4,2,9,1,3.7,Computer Vision | AR/VR Development,React.js | Node.js,Campus Ideathon | Climate Action Hackathon | Data Science Olympiad | Social Entrepreneurship Challenge | Smart India Hackathon (SIH) | State-Level Startup Pitch | National Hackathon | Product Design Sprint | Inter-College Innovation Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00054,147,3.2,11,7,6,10,Django | UI/UX Design | Python,Cybersecurity | Embedded Systems | Cloud Computing,Social Entrepreneurship Challenge | Climate Action Hackathon | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Product Design Sprint | IEEE Paper Presentation | National Hackathon,1,LegalTech,We solve inadequate early flood warning systems for early-stage startup founders by building a federated machine learning recommendation system in the LegalTech sector.,9,60,0.83,0.66,5,1,1,16739,1,Completed DST-NIDHI PRAYAS Grant,9.5,Angel Syndicate (₹25L round),1
STU00055,162,5.9,4,9,8,10,Cybersecurity | Blockchain,Machine Learning,State-Level Startup Pitch | Social Entrepreneurship Challenge | Product Design Sprint | National Hackathon | Campus Ideathon | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Data Science Olympiad | IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00056,59,5.8,6,6,6,9.6,DevOps | Embedded Systems | Computer Vision | Django,Data Engineering | Cloud Computing,Campus Ideathon | Climate Action Hackathon | Inter-College Innovation Challenge | State-Level Startup Pitch | Data Science Olympiad | Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00057,477,6.4,3,6,6,9.3,AR/VR Development | Blockchain,Node.js | Computer Vision,Smart India Hackathon (SIH) | National Hackathon | Product Design Sprint | Social Entrepreneurship Challenge | State-Level Startup Pitch | Campus Ideathon,1,HealthTech,We solve untapped renewable energy in tier-2 cities for first-generation college students by building a no-code automation workflow engine in the HealthTech sector.,1,83,1,0.68,4,0,0,0,0,Won Best DeepTech Prototype at National Hackathon,4,Bootstrapped,1
STU00058,236,2.8,2,1,1,2.5,IoT | Business Analytics,Natural Language Processing | AR/VR Development,Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00059,301,3.7,6,3,3,5.5,Machine Learning | Data Analysis | Business Analytics | Cloud Computing,Computer Vision,Data Science Olympiad | Product Design Sprint | Smart India Hackathon (SIH),0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00060,226,3.2,11,4,4,7.3,Natural Language Processing | Computer Vision | Cloud Computing,UI/UX Design,Inter-College Innovation Challenge | IEEE Paper Presentation | State-Level Startup Pitch | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00061,169,6.5,6,12,4,8.1,Business Analytics | IoT | AR/VR Development,UI/UX Design | Embedded Systems,Product Design Sprint | National Hackathon | Inter-College Innovation Challenge | Data Science Olympiad | Climate Action Hackathon | Campus Ideathon | Smart India Hackathon (SIH) | IEEE Paper Presentation | Social Entrepreneurship Challenge | State-Level Startup Pitch,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00062,321,4.6,8,8,6,10,AR/VR Development,Data Engineering,Social Entrepreneurship Challenge | State-Level Startup Pitch | Inter-College Innovation Challenge | Climate Action Hackathon | IEEE Paper Presentation | Data Science Olympiad | Smart India Hackathon (SIH) | National Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00063,269,3,4,7,7,10,Node.js | Natural Language Processing | Cloud Computing,Cybersecurity | Blockchain,IEEE Paper Presentation | Social Entrepreneurship Challenge | State-Level Startup Pitch | National Hackathon | Data Science Olympiad | Inter-College Innovation Challenge | Campus Ideathon,1,LegalTech,We solve inadequate early flood warning systems for environmental compliance officers by building a mobile-first community engagement platform in the LegalTech sector.,5,33,0.79,0.46,1,0,0,0,0,Completed DST-NIDHI PRAYAS Grant,6.2,Bootstrapped,0
STU00064,83,1.8,7,10,8,10,Data Analysis,Data Engineering | Computer Vision | Business Analytics,Inter-College Innovation Challenge | Social Entrepreneurship Challenge | Climate Action Hackathon | State-Level Startup Pitch | IEEE Paper Presentation | Campus Ideathon | Product Design Sprint | National Hackathon | Smart India Hackathon (SIH) | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00065,304,4.1,2,1,0,1.3,iOS Development,Blockchain | Cloud Computing,State-Level Startup Pitch,1,LogisticsTech,We solve inadequate early flood warning systems for low-income urban households by building a peer-to-peer micro-mentorship application in the LogisticsTech sector.,4,58,0.64,0.39,7,0,0,0,0,Onboarded 500+ Beta Users,5.3,Bootstrapped,0
STU00066,298,2,1,10,9,10,DevOps | Data Analysis | Cybersecurity | Android Development,Embedded Systems | Data Engineering,Social Entrepreneurship Challenge | Data Science Olympiad | National Hackathon | Product Design Sprint | Smart India Hackathon (SIH) | Campus Ideathon | Inter-College Innovation Challenge | State-Level Startup Pitch | Climate Action Hackathon | IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00067,375,2.4,0,8,3,5.8,Embedded Systems | AR/VR Development | Data Analysis,IoT | Django | Data Engineering,Campus Ideathon | Product Design Sprint | Smart India Hackathon (SIH) | Climate Action Hackathon | Social Entrepreneurship Challenge | State-Level Startup Pitch | National Hackathon | Inter-College Innovation Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00068,111,1,12,4,1,3.8,Cloud Computing | AR/VR Development | iOS Development | Cybersecurity,DevOps | React.js,State-Level Startup Pitch | National Hackathon | Campus Ideathon | Data Science Olympiad,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00069,68,4.6,12,9,0,3.3,Data Engineering | Data Analysis | Business Analytics,Computer Vision,State-Level Startup Pitch | National Hackathon | Campus Ideathon | IEEE Paper Presentation | Climate Action Hackathon | Product Design Sprint | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Social Entrepreneurship Challenge,1,FinTech,We solve inefficient supply chain visibility for school teachers in tier-3 districts by building a no-code automation workflow engine in the FinTech sector.,2,94,0.72,0.41,8,0,0,0,0,Completed DST-NIDHI PRAYAS Grant,4.5,Bootstrapped,1
STU00070,32,4.7,11,8,8,10,Business Analytics | Android Development | iOS Development | Django,React.js | AR/VR Development,Climate Action Hackathon | Social Entrepreneurship Challenge | State-Level Startup Pitch | Campus Ideathon | Data Science Olympiad | Smart India Hackathon (SIH) | National Hackathon | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00071,482,3.3,10,8,1,4.2,Cybersecurity | React.js | Data Analysis | Natural Language Processing,Machine Learning | Business Analytics | Node.js,Data Science Olympiad | State-Level Startup Pitch | IEEE Paper Presentation | Smart India Hackathon (SIH) | Inter-College Innovation Challenge | Campus Ideathon | Product Design Sprint | Social Entrepreneurship Challenge,1,HRTech,We solve manual compliance reporting in hospitals for logistics managers in emerging markets by building a gamified financial literacy learning app in the HRTech sector.,2,54,0.69,0.47,5,0,0,0,0,Won Best DeepTech Prototype at National Hackathon,4.5,Bootstrapped,1
STU00072,89,5.2,11,9,9,10,Natural Language Processing,Blockchain | IoT | Node.js,Campus Ideathon | National Hackathon | Data Science Olympiad | Smart India Hackathon (SIH) | Social Entrepreneurship Challenge | Product Design Sprint | IEEE Paper Presentation | Climate Action Hackathon | State-Level Startup Pitch,1,EdTech,We solve untapped renewable energy in tier-2 cities for logistics managers in emerging markets by building a gamified financial literacy learning app in the EdTech sector.,9,52,1,0.98,7,1,0,0,1,Secured Letter of Intent from Industry Partner,9.6,Tier-1 VC Partner (₹1Cr seed),1
STU00073,85,5.8,6,5,3,5.8,Business Analytics | Machine Learning | Node.js | Cybersecurity,AR/VR Development,Data Science Olympiad | Inter-College Innovation Challenge | IEEE Paper Presentation | Product Design Sprint | Climate Action Hackathon,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00074,149,4.1,3,3,3,5.3,Django,Data Engineering | Blockchain,IEEE Paper Presentation | Data Science Olympiad | Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00075,423,3.9,6,3,1,3.1,React.js | Django | Android Development,Blockchain | Data Engineering | Cybersecurity,IEEE Paper Presentation | Inter-College Innovation Challenge | Social Entrepreneurship Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00076,406,1.7,7,1,1,2.9,iOS Development | Natural Language Processing | Cybersecurity,React.js,Product Design Sprint,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00077,261,5.6,3,1,0,1.4,DevOps | Data Engineering,Data Analysis,IEEE Paper Presentation,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
STU00078,24,6.1,5,9,1,4,IoT,Computer Vision | Python | DevOps,Product Design Sprint | Campus Ideathon | Social Entrepreneurship Challenge | National Hackathon | IEEE Paper Presentation | Smart India Hackathon (SIH) | State-Level Startup Pitch | Data Science Olympiad | Inter-College Innovation Challenge,0,None,None,0,0,0,0,0,0,0,0,0,None,0,None,0
